forecast_horizon_hours,liquidity_quartile,bin,bin_lower,bin_upper,count,mean_prediction,empirical_rate,calibration_gap,weight
24,Q4_high,8,0.8,0.9,13,0.8488461538461538,0.9230769230769231,0.07423076923076932,0.006572295247724975
24,Q4_high,9,0.9,1.0,8,0.954375,1.0,0.04562500000000003,0.004044489383215369
12,Q1_low,0,0.0,0.1,1067,0.03056232427366448,0.00937207122774133,-0.021190253045923146,0.5189688715953308
12,Q1_low,1,0.1,0.2,251,0.14456175298804783,0.099601593625498,-0.04496015936254982,0.1220817120622568
12,Q1_low,2,0.2,0.30000000000000004,126,0.2534920634920635,0.19047619047619047,-0.06301587301587303,0.061284046692607
12,Q1_low,3,0.30000000000000004,0.4,125,0.35264,0.344,-0.008640000000000037,0.060797665369649805
12,Q1_low,4,0.4,0.5,264,0.46975378787878785,0.2196969696969697,-0.25005681818181813,0.12840466926070038
12,Q1_low,5,0.5,0.6000000000000001,133,0.5421052631578946,0.38345864661654133,-0.1586466165413533,0.0646887159533074
12,Q1_low,6,0.6000000000000001,0.7000000000000001,57,0.6452631578947369,0.5087719298245614,-0.13649122807017544,0.02772373540856031
12,Q1_low,7,0.7000000000000001,0.8,20,0.7424999999999999,0.55,-0.1924999999999999,0.009727626459143969
12,Q1_low,8,0.8,0.9,7,0.8478571428571428,1.0,0.15214285714285725,0.003404669260700389
12,Q1_low,9,0.9,1.0,6,0.9566666666666667,1.0,0.043333333333333335,0.0029182879377431907
12,Q2,0,0.0,0.1,670,0.03532089552238806,0.025373134328358207,-0.009947761194029854,0.3260340632603406
12,Q2,1,0.1,0.2,319,0.15134796238244513,0.14733542319749215,-0.004012539184952979,0.15523114355231143
12,Q2,2,0.2,0.30000000000000004,228,0.2517763157894737,0.34649122807017546,0.09471491228070178,0.11094890510948906
12,Q2,3,0.30000000000000004,0.4,187,0.351524064171123,0.31016042780748665,-0.041363636363636325,0.09099756690997567
12,Q2,4,0.4,0.5,231,0.46266233766233766,0.3593073593073593,-0.10335497835497837,0.11240875912408758
12,Q2,5,0.5,0.6000000000000001,169,0.5473668639053254,0.3905325443786982,-0.15683431952662719,0.08223844282238443
12,Q2,6,0.6000000000000001,0.7000000000000001,106,0.6463679245283019,0.5377358490566038,-0.10863207547169818,0.05158150851581508
12,Q2,7,0.7000000000000001,0.8,56,0.7517857142857143,0.625,-0.12678571428571428,0.027250608272506083
12,Q2,8,0.8,0.9,40,0.850125,0.75,-0.10012500000000002,0.019464720194647202
12,Q2,9,0.9,1.0,49,0.9666326530612245,1.0,0.03336734693877552,0.023844282238442822
12,Q3,0,0.0,0.1,931,0.0291890440386681,0.02040816326530612,-0.00878088077336198,0.4530413625304136
12,Q3,1,0.1,0.2,258,0.1476550387596899,0.12015503875968993,-0.027499999999999983,0.12554744525547445
12,Q3,2,0.2,0.30000000000000004,167,0.2526047904191617,0.23353293413173654,-0.019071856287425137,0.08126520681265206
12,Q3,3,0.30000000000000004,0.4,147,0.35244897959183674,0.35374149659863946,0.001292517006802718,0.07153284671532846
12,Q3,4,0.4,0.5,166,0.45156626506024095,0.4457831325301205,-0.005783132530120472,0.08077858880778589
12,Q3,5,0.5,0.6000000000000001,140,0.5453571428571428,0.5142857142857142,-0.031071428571428528,0.0681265206812652
12,Q3,6,0.6000000000000001,0.7000000000000001,86,0.6442441860465117,0.5813953488372093,-0.06284883720930234,0.04184914841849149
12,Q3,7,0.7000000000000001,0.8,57,0.7463157894736842,0.5087719298245614,-0.23754385964912272,0.027737226277372264
12,Q3,8,0.8,0.9,38,0.8539473684210527,0.8947368421052632,0.04078947368421049,0.018491484184914843
12,Q3,9,0.9,1.0,65,0.9737692307692308,0.9538461538461539,-0.019923076923076932,0.031630170316301706
12,Q4_high,0,0.0,0.1,966,0.026030020703933746,0.027950310559006212,0.0019202898550724663,0.47007299270072994
12,Q4_high,1,0.1,0.2,217,0.14850230414746546,0.14285714285714285,-0.005645161290322609,0.10559610705596106
12,Q4_high,2,0.2,0.30000000000000004,188,0.2516223404255319,0.2712765957446808,0.01965425531914894,0.09148418491484185
12,Q4_high,3,0.30000000000000004,0.4,154,0.35198051948051945,0.34415584415584416,-0.00782467532467529,0.07493917274939173
