pair,model,feature,estimate_type,estimate,train_observations,train_events
24h_to_12h,linear_regression,bucket__bucket_label_55-56°,standardized_coefficient,-0.11948789309885803,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_55° or above,standardized_coefficient,0.044469312776835385,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_55° or higher,standardized_coefficient,0.051546854294855705,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_55° to 56°,standardized_coefficient,-0.04273674112504781,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_56° or above,standardized_coefficient,0.08237806331089573,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_56° or below,standardized_coefficient,-0.07602945005373511,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_56° or higher,standardized_coefficient,0.10560266829549689,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_56° to 57°,standardized_coefficient,0.020405229450331297,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_57-58°,standardized_coefficient,0.10635950905448131,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_57° or above,standardized_coefficient,0.053082166263819924,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_57° or below,standardized_coefficient,0.0064996888173292685,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_57° to 58°,standardized_coefficient,0.05038750778458002,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_58° or above,standardized_coefficient,0.08174597614719242,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_58° or below,standardized_coefficient,0.16831851913444362,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_58° or higher,standardized_coefficient,0.10048338253587852,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_58° to 59°,standardized_coefficient,0.013502298468217974,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_59-60°,standardized_coefficient,0.08659077396062634,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_59° or above,standardized_coefficient,0.12043746507477975,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_59° or below,standardized_coefficient,-0.04535738493208705,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_59° or higher,standardized_coefficient,-0.1067143115002547,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_59° to 60°,standardized_coefficient,-0.013887872026915818,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_60° or above,standardized_coefficient,0.005485198327299664,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_60° or below,standardized_coefficient,0.004352120945380384,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_60° or higher,standardized_coefficient,-0.01599539626806646,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_60° to 61°,standardized_coefficient,0.055146802075561566,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_61-62°,standardized_coefficient,-0.034059778548666514,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_61° or above,standardized_coefficient,0.05453621996364988,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_61° or below,standardized_coefficient,0.016545269971262745,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_61° to 62°,standardized_coefficient,0.02557103989497666,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_62° or above,standardized_coefficient,-0.014383497833177165,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_62° or below,standardized_coefficient,-0.13640996864807856,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_62° to 63°,standardized_coefficient,0.012890243473236002,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_63-64°,standardized_coefficient,0.07794679378606147,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_63° or above,standardized_coefficient,0.033303150357319976,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_63° or below,standardized_coefficient,-0.013121789248593866,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_63° to 64°,standardized_coefficient,0.02213999943934758,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_64-65°,standardized_coefficient,-0.04198827364602397,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_64° or above,standardized_coefficient,0.13107528876087624,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_64° or below,standardized_coefficient,-0.06965807470789519,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_64° or lower,standardized_coefficient,-0.022973749801783003,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_64° to 65°,standardized_coefficient,0.01927087959017521,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_65-66°,standardized_coefficient,-0.20608374741401395,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_65° or above,standardized_coefficient,0.030897308374206123,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_65° or below,standardized_coefficient,0.08706747419050327,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_65° to 66°,standardized_coefficient,0.030200069290713685,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_66-67°,standardized_coefficient,0.06149099975095279,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_66° or above,standardized_coefficient,-0.020836976785157797,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_66° or below,standardized_coefficient,-0.07323686416656423,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_66° to 67°,standardized_coefficient,-0.031143391077028765,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_67-68°,standardized_coefficient,0.14402231888616698,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_67° or above,standardized_coefficient,-0.10223817341311071,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_67° or below,standardized_coefficient,0.07066101319351903,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_67° or lower,standardized_coefficient,-0.029861223784558508,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_67° to 68°,standardized_coefficient,0.025795527531577885,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_68-69°,standardized_coefficient,0.06794725901974943,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_68° or above,standardized_coefficient,0.07157989728116469,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_68° or below,standardized_coefficient,0.13400302952109513,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_68° to 69°,standardized_coefficient,0.03772691494097122,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_69-70°,standardized_coefficient,0.03442332686567038,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_69° or above,standardized_coefficient,0.19736437506869214,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_69° or below,standardized_coefficient,0.028721498657661305,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_69° to 70°,standardized_coefficient,0.04207508535601592,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_70-71°,standardized_coefficient,-0.023401006799978336,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_70° or above,standardized_coefficient,0.07475626169884238,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_70° or below,standardized_coefficient,-0.07757112362985374,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_70° or higher,standardized_coefficient,0.016301662887715444,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_70° to 71°,standardized_coefficient,-0.016227232222526117,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_71-72°,standardized_coefficient,-0.0482381779790762,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_71° or above,standardized_coefficient,0.057637626460426084,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_71° or below,standardized_coefficient,-0.04024095462375715,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_71° to 72°,standardized_coefficient,0.03832669694115816,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_72-73°,standardized_coefficient,0.11818673679047736,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_72° or above,standardized_coefficient,0.06816225652548584,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_72° or below,standardized_coefficient,0.018862941956957244,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_72° or higher,standardized_coefficient,-0.034850821432434606,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_72° to 73°,standardized_coefficient,0.025951680106561802,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_73-74°,standardized_coefficient,0.14372437411677585,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_73° or above,standardized_coefficient,-0.11422085031470881,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_73° or below,standardized_coefficient,-0.08180425540285825,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_73° to 74°,standardized_coefficient,0.0029883682439987846,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_74-75°,standardized_coefficient,0.01868958581787291,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_74° or above,standardized_coefficient,0.12771504288007524,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_74° to 75°,standardized_coefficient,0.027959591095482336,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_75-76°,standardized_coefficient,0.007802742389659327,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_75° or above,standardized_coefficient,0.04470523991712283,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_75° or below,standardized_coefficient,0.055075962150134834,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_75° to 76°,standardized_coefficient,0.0006959315754418785,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_76-77°,standardized_coefficient,-0.012293713241099676,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_76° or above,standardized_coefficient,0.05416819070871237,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_76° or below,standardized_coefficient,-0.025568557032417265,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_76° to 77°,standardized_coefficient,0.020641412886702626,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_77-78°,standardized_coefficient,0.04977069802978228,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_77° or above,standardized_coefficient,-0.07809832350949338,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_77° or below,standardized_coefficient,-0.0070289179223503445,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_77° to 78°,standardized_coefficient,0.05665162173597316,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_78-79°,standardized_coefficient,0.009228257159335252,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_78° or above,standardized_coefficient,-0.0063330614651173935,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_78° or below,standardized_coefficient,-0.09129825754483228,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_78° to 79°,standardized_coefficient,0.030894587827203293,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_79-80°,standardized_coefficient,0.06212770718066101,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_79° or above,standardized_coefficient,0.021425700403048017,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_79° or below,standardized_coefficient,0.1546956017459133,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_79° to 80°,standardized_coefficient,0.001662579881361849,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_80-81°,standardized_coefficient,0.015513452740959666,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_80° or above,standardized_coefficient,0.026724080578808127,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_80° or below,standardized_coefficient,-0.07068004511043678,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_80° to 81°,standardized_coefficient,0.02315005028606379,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_81-82°,standardized_coefficient,-0.008968736080007506,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_81° or above,standardized_coefficient,0.0993339531496689,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_81° or below,standardized_coefficient,0.12981389577726757,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_81° to 82°,standardized_coefficient,0.04703348716109117,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_82-83°,standardized_coefficient,0.03233472613070462,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_82° or above,standardized_coefficient,-0.0073726596595836465,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_82° or below,standardized_coefficient,0.03230053165494792,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_82° to 83°,standardized_coefficient,0.06112135848144394,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_83-84°,standardized_coefficient,0.06079136985359382,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_83° or above,standardized_coefficient,-0.017008673371845903,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_83° or below,standardized_coefficient,-0.03302968259549341,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_83° to 84°,standardized_coefficient,0.0347563267700976,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_84-85°,standardized_coefficient,0.05287096523535901,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_84° or above,standardized_coefficient,0.1305124864095558,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_84° to 85°,standardized_coefficient,0.06672469077355003,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_85-86°,standardized_coefficient,0.002233261318168804,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_85° or above,standardized_coefficient,0.03001457896234086,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_85° or below,standardized_coefficient,0.03572830279530446,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_85° to 86°,standardized_coefficient,0.0019148247314090816,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_86-87°,standardized_coefficient,0.062452151316032954,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_86° or above,standardized_coefficient,0.05290545500199115,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_86° to 87°,standardized_coefficient,0.037703377095940446,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_87-88°,standardized_coefficient,0.030877529450208614,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_87° or above,standardized_coefficient,0.0007805760453723186,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_87° to 88°,standardized_coefficient,0.028313462580431187,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_88-89°,standardized_coefficient,0.06541985886300125,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_88° or above,standardized_coefficient,0.09694098126035942,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_88° to 89°,standardized_coefficient,0.004164288750439095,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_89-90°,standardized_coefficient,0.016581312959453726,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_89° or above,standardized_coefficient,0.06666837157364787,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_89° to 90°,standardized_coefficient,0.05241594221158201,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_90-91°,standardized_coefficient,0.05496957355323215,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_90° or above,standardized_coefficient,0.03893876159356432,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_90° to 91°,standardized_coefficient,0.044341419206541555,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_91-92°,standardized_coefficient,0.09098365751114233,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_91° or above,standardized_coefficient,-0.01910994299676363,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_91° to 92°,standardized_coefficient,0.038397427469835696,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_92-93°,standardized_coefficient,0.02041543165012898,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_92° or above,standardized_coefficient,0.16631572966315344,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_92° to 93°,standardized_coefficient,0.10100918208994361,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_93-94°,standardized_coefficient,0.12871159147279287,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_93° or above,standardized_coefficient,0.03837240466761256,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_93° to 94°,standardized_coefficient,0.07971282171594674,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_94-95°,standardized_coefficient,0.05619027363222227,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_94° or above,standardized_coefficient,-0.0032175250915097743,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_94° to 95°,standardized_coefficient,0.0025509256667408087,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_95° to 96°,standardized_coefficient,-0.05867305437492484,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_96° or above,standardized_coefficient,0.09858142714712839,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_97° to 98°,standardized_coefficient,-0.10135729058098003,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_<53°,standardized_coefficient,-0.039721927599615424,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_<57°,standardized_coefficient,-0.016389740169004997,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_<61°,standardized_coefficient,-0.17078527834138033,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_<65°,standardized_coefficient,-0.020882097023839773,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_<66°,standardized_coefficient,-0.07460483964511035,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_<69°,standardized_coefficient,-0.09732531247396062,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_<70°,standardized_coefficient,0.0012334008719251566,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_<71°,standardized_coefficient,-0.07752678880723515,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_<73°,standardized_coefficient,-0.04201334530895235,4402,1193
