pair,model,feature,estimate_type,estimate,train_observations,train_events
24h_to_12h,ridge_regression,bucket__bucket_label_83° to 84°,standardized_coefficient,-0.014742002868075239,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_infrequent_sklearn,standardized_coefficient,0.023224296197541336,384,64
12h_to_6h,linear_regression,intercept,intercept,0.06372834735659998,384,64
12h_to_6h,linear_regression,numeric__midpoint_probability,standardized_coefficient,0.023082992587500073,384,64
12h_to_6h,linear_regression,numeric__bid_ask_spread,standardized_coefficient,0.019304781092190835,384,64
12h_to_6h,linear_regression,numeric__volume,standardized_coefficient,-0.0018384907399199022,384,64
12h_to_6h,linear_regression,numeric__open_interest,standardized_coefficient,0.07139956332867423,384,64
12h_to_6h,linear_regression,numeric__delta_p_1h,standardized_coefficient,0.020147896106100724,384,64
12h_to_6h,linear_regression,numeric__delta_p_6h,standardized_coefficient,-0.036128282862130504,384,64
12h_to_6h,linear_regression,numeric__delta_p_24h,standardized_coefficient,0.0023999632799479795,384,64
12h_to_6h,linear_regression,numeric__volatility_6h,standardized_coefficient,-0.025923494626351514,384,64
12h_to_6h,linear_regression,numeric__volatility_24h,standardized_coefficient,0.01593745171259722,384,64
12h_to_6h,linear_regression,numeric__volume_6h,standardized_coefficient,-0.009083539000028704,384,64
12h_to_6h,linear_regression,numeric__volume_24h,standardized_coefficient,-0.06485335539282552,384,64
12h_to_6h,linear_regression,numeric__time_to_close,standardized_coefficient,4.440892098500626e-16,384,64
12h_to_6h,linear_regression,numeric__missingindicator_delta_p_6h,standardized_coefficient,0.0029037959445368244,384,64
12h_to_6h,linear_regression,numeric__missingindicator_delta_p_24h,standardized_coefficient,-0.004862196283162264,384,64
12h_to_6h,linear_regression,bucket__bucket_label_43° to 44°,standardized_coefficient,-0.08835014841240334,384,64
12h_to_6h,linear_regression,bucket__bucket_label_45° to 46°,standardized_coefficient,-0.16211392298764357,384,64
12h_to_6h,linear_regression,bucket__bucket_label_46° to 47°,standardized_coefficient,-0.21124261917926745,384,64
12h_to_6h,linear_regression,bucket__bucket_label_47° to 48°,standardized_coefficient,-0.15371274539263513,384,64
12h_to_6h,linear_regression,bucket__bucket_label_48° to 49°,standardized_coefficient,0.0503886841495291,384,64
12h_to_6h,linear_regression,bucket__bucket_label_49° to 50°,standardized_coefficient,-0.2366287142857758,384,64
12h_to_6h,linear_regression,bucket__bucket_label_50° or below,standardized_coefficient,-0.028371437285511503,384,64
12h_to_6h,linear_regression,bucket__bucket_label_50° to 51°,standardized_coefficient,0.07630506235791039,384,64
12h_to_6h,linear_regression,bucket__bucket_label_51° to 52°,standardized_coefficient,0.010963279535957132,384,64
12h_to_6h,linear_regression,bucket__bucket_label_52° or below,standardized_coefficient,0.0509149657983954,384,64
